id,post_id,likes,comments,shares,contains_emoji,does_not_contain_emoji,contains_hashtag,accounts_reached,followers_gained,hashtag_count,year,month,week,day,hour,caption_length,day_of_week,media_type_VIDEO,media_type_CAROUSEL,media_type_PHOTO,day_posted_monday,day_posted_tuesday,day_posted_wednesday,day_posted_thursday,day_posted_friday,day_posted_saturday,day_posted_sunday
10,17991317860861696,0.0033288435635943,0.0093457943925233,0.0002632271650434,1,0,1,0.1450705475197444,0.0,0.3333333333333333,2023,3,13,27,19,0.12,1,0,0,0,1,0,0,0,0,0,0
9,17970476591213065,0.0254762362901674,0.0420560747663551,0.0021584627533561,0,1,1,0.2301712663057946,0.0,0.3333333333333333,2023,3,13,27,21,0.08,1,0,0,0,1,0,0,0,0,0,0
8,17975071337133636,0.012892053107562,0.0,0.0034745985785733,0,1,1,0.2059632620463217,0.0555555555555555,0.6666666666666666,2023,3,13,28,20,0.1573333333333333,2,0,0,0,0,1,0,0,0,0,0
7,18021056824516573,0.0177410044256301,0.02803738317757,0.0107923137667807,0,1,1,0.0,0.0,0.3333333333333333,2023,3,13,29,19,0.072,3,1,0,0,0,0,1,0,0,0,0
6,18210900739213326,0.0300173176832788,0.0420560747663551,0.0109502500658067,1,0,1,0.255444138787825,0.0555555555555555,0.3333333333333333,2023,3,13,30,19,0.0693333333333333,4,0,0,0,0,0,0,1,0,0,0
5,17999949409734728,0.0123532807388878,0.014018691588785,0.0014740721242432,0,1,1,0.0,0.0,0.3333333333333333,2023,3,13,31,21,0.104,5,1,0,0,0,0,0,0,1,0,0
4,18183017380252918,0.015605156821243,0.02803738317757,0.0043695709397209,0,1,1,0.2225042151033809,0.0555555555555555,0.3333333333333333,2023,4,13,1,19,0.0373333333333333,6,0,0,0,0,0,0,0,0,1,0
3,18242119852089219,0.0179911487396574,0.014018691588785,0.0121610950250065,1,0,1,0.2379270565267548,0.2777777777777778,0.3333333333333333,2023,4,13,2,22,0.0666666666666666,7,0,0,0,0,0,0,0,0,0,1
2,17853591407945713,0.0106407542813161,0.0186915887850467,0.0054751250329033,0,1,1,0.0,0.0,0.3333333333333333,2023,4,14,3,22,0.0506666666666666,1,1,0,0,1,0,0,0,0,0,0
1,17984725162841195,0.0101404656532614,0.02803738317757,0.0040010529086601,0,1,1,0.2063359659242168,0.0277777777777777,0.6666666666666666,2023,4,14,5,0,0.0533333333333333,3,0,0,0,0,0,1,0,0,0,0
