,id,post_id,likes,comments,shares,caption,contains_emoji,does_not_contain_emoji,contains_hashtag,Unnamed: 9,accounts_reached,timestamp,media_type,time_of_day,followers_gained,engagement_rate
402,3,17930150138653579,807,1,50,"Bonnie heard that breezes were on high demand so she bought out the whole store
#VivaLaYotes",False,True,True,,0,2023-09-05T18:35:13+0000,VIDEO,night,0,inf
403,4,18015593443794301,1388,3,47,Why Valero doesn’t have a pump anymore 😢 #VivaLaYotes,True,False,True,,12254,2023-09-03T16:52:03+0000,IMAGE,afternoon,1,0.1173494369185572
404,5,17904800300762952,1717,11,148,"Buddy tried to trust fall a counter
#VivaLaYotes",False,True,True,,0,2023-09-02T17:36:18+0000,VIDEO,night,0,inf
405,6,18380476966004217,893,5,8,Bet that dog could whip up a mean enchilada #GoodBoyFriday #VivaLaYotes,False,True,True,,9428,2023-09-01T17:54:34+0000,IMAGE,night,0,0.09609673313534153
406,7,17985292166467063,1391,7,120,PSA: There is a bear on the loose right now on campus. It was last spotted at the muc. #VivaLaYotes,False,True,True,,14466,2023-08-31T02:31:09+0000,IMAGE,night,5,0.10493571132310245
407,8,17871098924918865,957,0,103,"God your guys classes are so hard @hobosbarstool 
#VivaLaYotes",False,True,True,,0,2023-08-30T17:40:28+0000,VIDEO,night,0,inf
408,9,17969036774391962,1074,0,154,"I fucking love dinosaurs
#VivaLaYotes #TinderTuesday",False,True,True,,13418,2023-08-29T20:16:47+0000,CAROUSEL_ALBUM,night,1,0.09151885526904159
409,10,18071073844409139,903,1,44,"A healthier alternative to vaping
#VivaLaYotes",False,True,True,,0,2023-08-27T22:43:23+0000,VIDEO,night,0,inf
410,11,18381021877016730,1026,1,144,I would’ve paid the $1000 #VivaLaYotes,False,True,True,,13712,2023-08-27T01:05:15+0000,CAROUSEL_ALBUM,night,0,0.08539964994165694
411,12,18014285473802017,796,1,36,“I’ll get a 4.0 this semester” 🤡 #VivaLaYotes,False,True,True,,10976,2023-08-25T19:06:41+0000,IMAGE,night,0,0.07589285714285714
412,13,17980203605228736,1041,7,26,"He definitely didn’t make mass com today
#VivaLaYotes",False,True,True,,0,2023-08-24T20:50:18+0000,VIDEO,night,0,inf
413,14,18026881915559241,1789,5,104,alright who put a rotisserie chicken in the coyotes mouth🤣 #VivaLaYotes,False,True,True,,13789,2023-08-24T18:10:35+0000,IMAGE,night,8,0.13764594967002683
414,15,18227486203242933,1601,8,35,@usouthdakota fire this professor immediately #VivaLaYotes,False,True,True,,15025,2023-08-23T18:09:32+0000,IMAGE,night,1,0.10941763727121465
415,16,17984797937131250,962,0,39,"I don’t know the difference between woman and women either 
#VivaLaYotes #TinderTuesday",False,True,True,,13983,2023-08-23T01:09:55+0000,CAROUSEL_ALBUM,night,0,0.07158692698276478
416,17,18021428116653457,3567,12,522,Tf going on in Walmart 🤨 #VivaLaYotes,False,True,True,,0,2023-08-22T20:11:54+0000,VIDEO,night,0,inf
417,18,17997582589912043,1289,1,68,we’re so back. #VivaLaYotes,False,True,True,,14143,2023-08-21T20:50:39+0000,CAROUSEL_ALBUM,night,7,0.09601923212896839
418,19,18051538810421126,941,3,83,@hobosbarstool you can’t come into our territory and do this 😭 #VivaLaYotes,True,False,True,,0,2023-08-07T17:17:50+0000,VIDEO,night,0,inf
419,20,18069579304400482,543,1,22,current weather update #VivaLaYotes,False,True,True,,8932,2023-08-02T21:49:05+0000,IMAGE,night,2,0.06336766681594268
420,21,17964578060429510,576,2,23,"Rumor has it, no beer was safe that night..
#VivaLaYotes",False,True,True,,0,2023-07-30T18:43:32+0000,VIDEO,night,0,inf
421,22,18025756693605643,763,0,39,hope your summer is going better than them 😅 #VivaLaYotes,True,False,True,,0,2023-07-27T19:24:47+0000,VIDEO,night,0,inf
